Date,Product,Price,Quantity,Customer
2024-03-22,Bag,1200.0,4,B
2024-03-23,Bag,700.0,3,C
2024-03-24,T-shirt,700.0,8,A
2024-03-25,Shoes,1200.0,1,C
2024-03-26,Shoes,500.0,4,A
2024-03-27,Bag,1500.0,1,C
2024-03-28,Watch,700.0,4,A
2024-03-29,Laptop,2000.0,7,A
2024-03-30,Watch,1500.0,2,C
2024-03-31,Shoes,700.0,3,B
2024-04-01,T-shirt,700.0,5,A
2024-04-02,Watch,1200.0,2,D
2024-04-03,Watch,500.0,4,C
2024-04-04,Shoes,500.0,3,D
2024-04-05,Bag,1200.0,5,A
2024-04-06,Shoes,2000.0,8,A
2024-04-07,Watch,500.0,5,C
2024-04-08,Watch,2000.0,5,D
2024-04-09,T-shirt,1500.0,2,A
2024-04-10,Watch,1500.0,3,D
2024-04-11,T-shirt,500.0,8,B
2024-04-12,Watch,500.0,3,C
2024-04-13,Bag,1500.0,4,A
2024-04-14,Watch,1200.0,8,C
2024-04-15,T-shirt,1500.0,7,D
2024-04-16,T-shirt,500.0,7,C
2024-04-17,T-shirt,1500.0,3,D
2024-04-18,Watch,500.0,4,D
2024-04-19,T-shirt,1200.0,7,B
2024-04-20,Laptop,1200.0,1,C
2024-04-21,Bag,700.0,9,D
2024-04-22,Watch,500.0,1,C
2024-04-23,T-shirt,2000.0,8,C
2024-04-24,Bag,500.0,7,C
2024-04-25,Watch,1500.0,6,C
2024-04-26,Bag,2000.0,7,A
2024-04-27,Laptop,2000.0,6,D
2024-04-28,Watch,700.0,3,C
2024-04-29,T-shirt,500.0,8,A
2024-04-30,Shoes,1200.0,2,A
2024-05-01,T-shirt,2000.0,3,B
2024-05-02,Watch,2000.0,3,B
2024-05-03,T-shirt,1200.0,6,C
2024-05-04,Shoes,2000.0,7,B
2024-05-05,Shoes,1500.0,5,A
2024-05-06,Shoes,1200.0,3,D
2024-05-07,T-shirt,1500.0,3,C
2024-05-08,Watch,500.0,2,B
2024-05-09,T-shirt,1200.0,1,D
2024-05-10,Shoes,1200.0,1,A
2024-05-11,Laptop,1200.0,3,B
2024-05-12,Shoes,500.0,9,C
2024-05-13,Shoes,500.0,4,B
2024-05-14,Watch,1200.0,1,C
2024-05-15,T-shirt,1500.0,9,C
2024-05-16,Watch,2000.0,9,B
2024-05-17,T-shirt,2000.0,2,C
2024-05-18,Shoes,1200.0,1,C
2024-05-19,Shoes,1200.0,6,C
2024-05-20,Shoes,1200.0,9,D
2024-05-21,T-shirt,2000.0,3,C
2024-05-22,Shoes,700.0,4,B
2024-05-23,Watch,1500.0,6,C
2024-05-24,Watch,1500.0,4,C
2024-05-25,Shoes,1500.0,9,C
2024-05-26,Laptop,700.0,7,D
2024-05-27,T-shirt,1200.0,5,C
2024-05-28,Laptop,1200.0,7,A
2024-05-29,Shoes,1200.0,4,B
2024-05-30,Laptop,1500.0,7,B
2024-05-31,T-shirt,1200.0,3,D
2024-06-01,T-shirt,1200.0,7,A
2024-06-02,Laptop,1500.0,6,B
2024-06-03,Bag,2000.0,6,A
2024-06-04,T-shirt,2000.0,5,B
2024-06-05,Shoes,1200.0,7,D
2024-06-06,Shoes,1200.0,6,B
2024-06-07,Shoes,700.0,2,D
2024-06-08,Bag,1200.0,4,D
2024-06-09,Shoes,1200.0,4,C
2024-06-10,Laptop,500.0,9,A
2024-06-11,Bag,1500.0,6,D
2024-06-12,T-shirt,500.0,6,A
2024-06-13,Bag,1200.0,7,B
2024-06-14,Shoes,2000.0,1,A
2024-06-15,Shoes,1500.0,8,C
2024-06-16,Laptop,1200.0,6,B
2024-06-17,T-shirt,700.0,2,B
2024-06-18,T-shirt,1200.0,6,C
2024-06-19,Bag,700.0,7,A
2024-06-20,Shoes,2000.0,7,A
2024-06-21,Shoes,1200.0,9,B
2024-06-22,Bag,700.0,8,B
2024-06-23,Watch,500.0,6,C
2024-06-24,Shoes,1200.0,4,A
2024-06-25,T-shirt,500.0,3,A
2024-06-26,Bag,500.0,4,A
2024-06-27,Bag,500.0,3,C
2024-06-28,Laptop,500.0,6,C
2024-06-29,Shoes,700.0,5,B
2024-06-30,Shoes,500.0,2,D
2024-07-01,T-shirt,1500.0,6,D
2024-07-02,Watch,700.0,9,B
2024-07-03,T-shirt,2000.0,4,B
2024-07-04,Watch,700.0,6,D
2024-07-05,Laptop,1200.0,9,B
2024-07-06,T-shirt,2000.0,5,D
2024-07-07,T-shirt,500.0,2,A
2024-07-08,Shoes,500.0,8,A
2024-07-09,T-shirt,1200.0,9,A
2024-07-10,Shoes,1200.0,2,A
2024-07-11,Laptop,500.0,3,C
2024-07-12,Watch,2000.0,2,C
2024-07-13,T-shirt,2000.0,2,A
2024-07-14,Laptop,2000.0,8,B
2024-07-15,Shoes,700.0,6,A
2024-07-16,Watch,700.0,1,B
2024-07-17,T-shirt,2000.0,5,C
2024-07-18,T-shirt,700.0,2,D
